,station_id_mean,weekday_mean,mean_pedestrians_count_weekday
283,95,3.0,26314.577464788734
284,95,4.0,30491.661971830985
285,95,5.0,44805.57142857143
286,95,6.0,11833.671428571428
287,96,0.0,18484.718309859156
288,96,1.0,18045.88888888889
289,96,2.0,17933.208333333332
290,96,3.0,18870.88888888889
291,96,4.0,22739.652777777777
292,96,5.0,35667.971830985916
293,96,6.0,9598.633802816901
294,97,0.0,18043.256756756757
295,97,1.0,17286.364864864863
296,97,2.0,17811.12162162162
297,97,3.0,18704.175675675677
298,97,4.0,21960.324324324323
299,97,5.0,30341.91891891892
300,97,6.0,7111.689189189189
301,98,0.0,17564.12676056338
302,98,1.0,16827.845070422536
303,98,2.0,17197.23943661972
304,98,3.0,18503.943661971833
305,98,4.0,21668.98611111111
306,98,5.0,29574.605633802817
307,98,6.0,5254.014084507042
308,100,0.0,18172.391304347828
309,100,1.0,17992.5
310,100,2.0,19346.014285714286
311,100,3.0,18920.871428571427
312,100,4.0,22136.814285714285
313,100,5.0,34061.463768115944
314,100,6.0,8802.04347826087
315,102,0.0,17873.55737704918
316,102,1.0,17679.548387096773
317,102,2.0,17614.935483870966
318,102,3.0,18282.225806451614
319,102,4.0,21756.387096774193
320,102,5.0,28189.72131147541
321,102,6.0,8215.131147540984
322,103,0.0,12224.918032786885
323,103,1.0,11666.918032786885
324,103,2.0,11311.606557377048
325,103,3.0,11587.95081967213
326,103,4.0,14204.688524590163
327,103,5.0,19756.116666666665
328,103,6.0,1118.2
329,104,0.0,11962.180327868853
330,104,1.0,11243.0
331,104,2.0,10892.704918032787
332,104,3.0,11036.065573770491
333,104,4.0,13366.11475409836
334,104,5.0,18620.016666666666
335,104,6.0,3257.7
336,107,0.0,11733.727272727272
337,107,1.0,11583.939393939394
338,107,2.0,11635.484848484848
339,107,3.0,11864.029411764706
340,107,4.0,14610.117647058823
341,107,5.0,22248.757575757576
342,107,6.0,4491.212121212121
343,108,0.0,23585.118644067796
344,108,1.0,23608.338983050846
345,108,2.0,22497.783333333333
346,108,3.0,22326.316666666666
347,108,4.0,28868.833333333332
348,108,5.0,40248.72881355932
349,108,6.0,7797.661016949152
350,109,0.0,11517.677966101695
351,109,1.0,12025.677966101695
352,109,2.0,11948.766666666666
353,109,3.0,11498.766666666666
354,109,4.0,13227.066666666668
355,109,5.0,19596.06779661017
356,109,6.0,8720.57627118644
357,110,0.0,9549.406779661016
358,110,1.0,9114.118644067798
359,110,2.0,9010.3
360,110,3.0,9131.35
361,110,4.0,9838.466666666667
362,110,5.0,10412.93220338983
363,110,6.0,4270.271186440678
364,111,0.0,12429.152542372882
365,111,1.0,10901.864406779661
366,111,2.0,11177.55
367,111,3.0,12490.416666666666
368,111,4.0,12953.783333333333
369,111,5.0,15947.745762711864
370,111,6.0,3832.7966101694915
371,114,0.0,5343.118644067797
372,114,1.0,5418.271186440678
373,114,2.0,5493.474576271186
374,114,3.0,5256.15
375,114,4.0,6147.183333333333
376,114,5.0,6481.6949152542375
377,114,6.0,2297.762711864407
378,116,0.0,8528.762711864407
379,116,1.0,7604.203389830508
380,116,2.0,7337.440677966101
381,116,3.0,7696.1
