"name","city","stationid","lon","lat","earliest_measurement_at","latest_measurement_at"
"Kröpeliner Straße (West)","Rostock",206,12.1348342,54.0884406,2019-10-15 00:00:00,2020-03-20 22:59:12
"Löhrstraße (Mitte)","Koblenz",86,7.5898348,50.3543337,2018-07-31 00:00:00,2019-11-15 09:44:50
"Westenhellweg (Mitte)","Dortmund",49,7.461371,51.5143319,2018-05-01 00:00:00,2020-03-20 23:09:37
"Bahnhofstraße","Saarbrücken",75,6.9933787,49.235851,2018-05-01 00:00:00,2020-03-20 23:11:00
"Hindenburgstraße (Mitte)","Mönchengladbach",245,6.4445238,51.1978271,2019-12-18 00:00:00,2020-03-20 23:04:02
"Maximilianstraße (Mitte)","München",166,11.5837392,48.1384016,2019-08-28 00:00:00,2020-03-20 22:58:55
"Westernstraße","Paderborn",169,8.7496126,51.7164215,2019-09-26 00:00:00,2020-03-20 22:55:27
"Achternstraße","Oldenburg",210,8.2146158,53.1405859,2019-10-31 00:00:00,2020-03-20 23:09:39
"Stresemannstraße","Bielefeld",161,8.5330928,52.024893,2019-07-03 00:00:00,2020-03-20 23:01:05
"Mittelstraße","Düsseldorf",157,6.7742511,51.2244707,2019-06-20 00:00:00,2020-03-20 23:00:27
"Zeil (Mitte)","Frankfurt a.M.",150,8.6874391,50.1148126,2019-06-21 00:00:00,2020-03-20 23:04:47
"Georgstraße","Hannover",63,9.7374627,52.3747269,2018-05-01 00:00:00,2020-03-20 23:04:34
"Grüner Markt","Bamberg",118,10.8886186,49.8933506,2019-03-31 22:04:00,2020-03-20 23:01:31
"Breite Gasse","Nürnberg",88,11.0738206,49.4501076,2018-08-27 00:00:00,2020-03-20 23:04:41
"Damm","Braunschweig",130,10.5245282,52.2623365,2019-04-01 00:00:00,2020-03-20 06:10:40
"Hochstraße (Mitte)","Krefeld",144,6.5636258,51.3305085,2019-05-27 00:00:00,2020-03-20 23:01:17
