NUTS_NAME,long_center,lat_center
"Pirmasens, Kreisfreie Stadt",7.593666834963698,49.196960097275834
"Speyer, Kreisfreie Stadt",8.43576040512389,49.32789992641482
"Worms, Kreisfreie Stadt",8.323862496226676,49.64769032300049
"Zweibrücken, Kreisfreie Stadt",7.363783517792246,49.24785405618112
Alzey-Worms,8.157761285775203,49.758986082013415
Bad Dürkheim,8.109699911762279,49.45313274589488
Donnersbergkreis,7.914094860509631,49.63231673393028
Germersheim,8.246646172575332,49.11660925014865
"Kaiserslautern, Landkreis",7.6854759648434525,49.44606471765561
Kusel,7.471330466040095,49.55018936656259
Südliche Weinstraße,8.047789716454822,49.1902090732511
Rhein-Pfalz-Kreis,8.36019756840723,49.41651830660538
Mainz-Bingen,8.080724392117228,49.92107749214289
"Wilhelmshaven, Kreisfreie Stadt",8.087667055600019,53.567201388854386
Ammerland,8.01310958485598,53.21795604473968
Aurich,7.369305084217403,53.49707549820366
Cloppenburg,7.904086491851481,52.91089244773924
Emsland,7.402602892985632,52.73779449395196
Friesland (DE),7.9824770063671036,53.50937555363229
Grafschaft Bentheim,7.019395289338027,52.47678801066562
Leer,7.4780154961362815,53.24089238545138
"Oldenburg, Landkreis",8.389428039210594,52.98833352091468
"Osnabrück, Landkreis",8.046000038367474,52.38124965055888
Vechta,8.223271859532902,52.660432728635115
Wesermarsch,8.391158313590829,53.35412613786271
"Jena, Kreisfreie Stadt",11.586405166518626,50.92494590785817
"Suhl, Kreisfreie Stadt",10.689743321244542,50.611652999910774
"Weimar, Kreisfreie Stadt",11.31732248623521,50.97835869270892
