,address_components,name,place_id,city
0,"[{'long_name': '81', 'short_name': '81', 'types': ['street_number']}, {'long_name': 'Haedenkampstraße', 'short_name': 'Haedenkampstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45143', 'short_name': '45143', 'types': ['postal_code']}]",Lidl,ChIJa_bb4Y_CuEcRhQJ69Gu39tc,Essen
0,"[{'long_name': '190-192', 'short_name': '190-192', 'types': ['street_number']}, {'long_name': 'Steeler Straße', 'short_name': 'Steeler Str.', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45138', 'short_name': '45138', 'types': ['postal_code']}]",dm-drogerie markt,ChIJY9qU6jfduEcR676QjLgSXKg,Essen
0,"[{'long_name': '6', 'short_name': '6', 'types': ['street_number']}, {'long_name': 'Sigsfeldstraße', 'short_name': 'Sigsfeldstraße', 'types': ['route']}, {'long_name': 'Stadtbezirke I', 'short_name': 'Stadtbezirke I', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45141', 'short_name': '45141', 'types': ['postal_code']}]",Thomas Philipps Sonderposten,ChIJ23NKvqDCuEcR8xo19wIvJ8E,Essen
0,"[{'long_name': '74', 'short_name': '74', 'types': ['street_number']}, {'long_name': 'Klarastraße', 'short_name': 'Klarastraße', 'types': ['route']}, {'long_name': 'Stadtbezirke II', 'short_name': 'Stadtbezirke II', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Essen', 'short_name': 'E', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '45130', 'short_name': '45130', 'types': ['postal_code']}]",EDEKA Peine,ChIJsdP-qtPCuEcRMjdyHSIAAMc,Essen
0,"[{'long_name': '257', 'short_name': '257', 'types': ['street_number']}, {'long_name': 'Friedrich-Engels-Allee', 'short_name': 'Friedrich-Engels-Allee', 'types': ['route']}, {'long_name': 'Barmen', 'short_name': 'Barmen', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42285', 'short_name': '42285', 'types': ['postal_code']}]",ALDI Wuppertal-Barmen,ChIJLRjl_9nXuEcRGOG-wKvYMiI,Wuppertal
0,"[{'long_name': '113-119', 'short_name': '113-119', 'types': ['street_number']}, {'long_name': 'Hofkamp', 'short_name': 'Hofkamp', 'types': ['route']}, {'long_name': 'Elberfeld', 'short_name': 'Elberfeld', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42103', 'short_name': '42103', 'types': ['postal_code']}]",Lidl,ChIJ6b3vWFDWuEcR-jRzOoTcbmQ,Wuppertal
0,"[{'long_name': '352', 'short_name': '352', 'types': ['street_number']}, {'long_name': 'Friedrich-Engels-Allee', 'short_name': 'Friedrich-Engels-Allee', 'types': ['route']}, {'long_name': 'Barmen', 'short_name': 'Barmen', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42283', 'short_name': '42283', 'types': ['postal_code']}]",Z.U.M. Supermarkt,ChIJXwPSeScouUcRuPjaE4VZsy4,Wuppertal
0,"[{'long_name': '225', 'short_name': '225', 'types': ['street_number']}, {'long_name': 'Friedrich-Engels-Allee', 'short_name': 'Friedrich-Engels-Allee', 'types': ['route']}, {'long_name': 'Barmen', 'short_name': 'Barmen', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42285', 'short_name': '42285', 'types': ['postal_code']}]",Netto Filiale,ChIJv6GKjtDXuEcRe9UXFwTGKV0,Wuppertal
0,"[{'long_name': '279', 'short_name': '279', 'types': ['street_number']}, {'long_name': 'Friedrich-Engels-Allee', 'short_name': 'Friedrich-Engels-Allee', 'types': ['route']}, {'long_name': 'Barmen', 'short_name': 'Barmen', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42285', 'short_name': '42285', 'types': ['postal_code']}]",REWE,ChIJGYhM6tnXuEcRDYSBWNKyG44,Wuppertal
0,"[{'long_name': '105', 'short_name': '105', 'types': ['street_number']}, {'long_name': 'Carnaper Straße', 'short_name': 'Carnaper Str.', 'types': ['route']}, {'long_name': 'Barmen', 'short_name': 'Barmen', 'types': ['sublocality_level_1', 'sublocality', 'political']}, {'long_name': 'Wuppertal', 'short_name': 'West', 'types': ['locality', 'political']}, {'long_name': 'Düsseldorf', 'short_name': 'Düsseldorf', 'types': ['administrative_area_level_2', 'political']}, {'long_name': 'Nordrhein-Westfalen', 'short_name': 'NRW', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'Germany', 'short_name': 'DE', 'types': ['country', 'political']}, {'long_name': '42283', 'short_name': '42283', 'types': ['postal_code']}]",Netto Filiale,ChIJLZcOP-HXuEcRT29n-ObNpQw,Wuppertal
