,station_id_mean,weekday_mean,mean_pedestrians_count_weekday
568,151,1,9247.71794871795
569,151,2,9019.28205128205
570,151,3,9732.27027027027
571,151,4,12036.527777777777
572,151,5,22111.82857142857
573,151,6,4570.388888888889
574,153,0,25423.184210526317
575,153,1,23151.42105263158
576,153,2,22615.473684210527
577,153,3,24040.777777777777
578,153,4,28490.222222222223
579,153,5,40625.114285714284
580,153,6,6410.081081081081
581,154,0,29595.966666666667
582,154,1,27097.366666666665
583,154,2,26496.666666666668
584,154,3,27196.714285714286
585,154,4,30486.678571428572
586,154,5,41166.77777777778
587,154,6,11942.5
588,155,0,14345.605263157895
589,155,1,16927.842105263157
590,155,2,13163.368421052632
591,155,3,11198.75
592,155,4,13436.944444444445
593,155,5,15178.2
594,155,6,4667.7027027027025
595,157,0,12638.135135135135
596,157,1,12054.378378378378
597,157,2,12878.777777777777
598,157,3,13311.222222222223
599,157,4,16989.428571428572
600,157,5,28925.941176470587
601,157,6,7692.888888888889
602,158,0,42947.64864864865
603,158,1,40435.7027027027
604,158,2,39585.75675675676
605,158,3,42423.97142857143
606,158,4,50288.82352941176
607,158,5,80324.57575757576
608,158,6,22013.742857142857
609,159,0,55614.194444444445
610,159,1,50776.694444444445
611,159,2,49474.75675675676
612,159,3,52768.68571428571
613,159,4,63321.32352941176
614,159,5,106921.54545454546
615,159,6,20127.6
616,160,0,28071.333333333332
617,160,1,25697.756756756757
618,160,2,25376.054054054053
619,160,3,26881.14285714286
620,160,4,32431.41176470588
621,160,5,54087.72727272727
622,160,6,11754.914285714285
623,161,0,22428.457142857143
624,161,1,19745.6
625,161,2,19229.833333333332
626,161,3,19964.176470588234
627,161,4,22740.617647058825
628,161,5,33871.333333333336
629,161,6,5885.088235294118
630,162,0,24024.958333333332
631,162,1,20629.08695652174
632,162,2,20215.0
633,162,3,21664.304347826088
634,162,4,25129.17391304348
635,162,5,44172.77272727273
636,162,6,8975.695652173914
637,163,0,35447.91428571429
638,163,1,32158.371428571427
639,163,2,31917.97142857143
640,163,3,33093.666666666664
641,163,4,38394.57575757576
642,163,5,60615.30303030303
643,163,6,11547.942857142858
644,164,0,34702.46875
645,164,1,32879.9375
646,164,2,31788.0625
647,164,3,34428.666666666664
648,164,4,43148.36666666667
649,164,5,62701.65517241379
650,164,6,20632.935483870966
651,165,0,70566.67857142857
652,165,1,67304.75
653,165,2,68471.0
654,165,3,71482.53846153847
655,165,4,93852.92307692308
656,165,5,135048.72
657,165,6,44007.59259259259
658,166,0,6142.25
659,166,1,6584.107142857143
660,166,2,6539.827586206897
661,166,3,7282.461538461538
662,166,4,8572.23076923077
663,166,5,10847.8
664,166,6,7009.407407407408
665,167,0,19289.84
666,167,1,17707.8
667,167,2,17127.0
668,167,3,17427.583333333332
