,bus_score,date,gmap_score,hystreet_score,index,nationalExpress_score,national_score,regional_score,suburban_score,zug_score
64,,2020-03-20,,0.6364004565472343,05913,0.8974358974358975,0.9047619047619048,0.8384858044164039,0.988909426987061,0.9385982629771763
65,,2020-03-20,,,05914,0.9523809523809523,1.0,0.9608540925266904,0.99079754601227,0.9715189873417721
66,,2020-03-20,,,05915,1.0,0.8857142857142857,1.0,,0.9921568627450981
67,,2020-03-20,,,05916,0.5,1.0,0.7582417582417582,0.9921259842519685,0.8123953098827471
68,,2020-03-20,,,05954,,,0.9753593429158111,0.9939117199391172,0.986013986013986
69,,2020-03-20,,0.9275201855651336,05958,,,0.984641638225256,,0.984641638225256
70,,2020-03-20,,,05962,,,0.8030927835051547,,0.8030927835051547
71,,2020-03-20,,,05966,,,1.0,,1.0
72,,2020-03-20,,,05970,,,0.9787234042553191,,0.9787234042553191
73,,2020-03-20,,,05974,1.0,0.8333333333333334,1.0,,0.9975816203143894
74,,2020-03-20,,,05978,,,0.9329403095062638,1.0,0.9457364341085271
75,,2020-03-20,,0.7185330462198065,06411,0.875,1.0,0.8967136150234741,0.9666666666666667,0.913953488372093
76,0.6,2020-03-20,,0.5762519470818114,06412,0.7588832487309645,0.9714285714285714,0.976485956890921,0.76036866359447,0.7895467963188054
77,,2020-03-20,,0.6423923310310022,06414,,,,,
78,,2020-03-20,,,06431,1.0,1.0,1.0,0.9891304347826086,0.9985845718329794
79,,2020-03-20,,,06432,,,0.8760890609874152,0.9759036144578314,0.8835125448028673
80,,2020-03-20,,,06433,,,0.9724137931034482,0.9838827838827838,0.9799043062200957
81,,2020-03-20,,,06435,1.0,0.6,0.9929435483870968,1.0,0.9927765237020316
82,,2020-03-20,,,06437,,,1.0,,1.0
83,,2020-03-20,,,06440,1.0,0.5,1.0,0.72,0.9020683832840861
84,,2020-03-20,,0.6408476738131967,06531,1.0,0.5,0.9955555555555555,,0.9945474372955289
85,,2020-03-20,,,06532,,,1.0,,1.0
86,,2020-03-20,,0.6882568673799059,06533,0.3437499999999999,,0.9819927971188476,,0.9583815028901734
87,,2020-03-20,,,06534,1.0,0.5,0.9829302987197724,,0.9819444444444444
88,,2020-03-20,,,06535,,,1.0,,1.0
89,,2020-03-20,,,06611,0.9743589743589743,0.9333333333333333,0.9959183673469387,1.0,0.9947089947089947
90,,2020-03-20,,,06631,0.9557522123893806,0.6666666666666667,1.0,,0.9800498753117207
91,,2020-03-20,,,06632,1.0,0.8333333333333334,1.0,,0.9965397923875432
92,,2020-03-20,,,06633,,,0.990909090909091,1.0,0.9978813559322034
93,,2020-03-20,,,06634,1.0,0.5,0.9971181556195965,1.0,0.9944649446494465
94,,2020-03-20,,,06636,,,1.0,,1.0
95,,2020-03-20,,0.0,07111,1.0,0.8571428571428572,0.96,,0.9562243502051984
96,,2020-03-20,,,07132,,,0.9490909090909091,,0.9490909090909091
97,,2020-03-20,,,07133,,,1.0,,1.0
98,,2020-03-20,,,07138,,,0.9283667621776505,,0.9283667621776505
99,,2020-03-20,,,07140,,1.0,1.0,,1.0
100,,2020-03-20,,0.43187732978032123,07211,,,0.9500713266761769,,0.9500713266761769
101,,2020-03-20,,,07233,,,1.0,,1.0
102,1.0,2020-03-20,,,07312,0.19999999999999996,1.0,1.0,1.0,0.9818181818181818
103,,2020-03-20,,,07313,,,1.0,,1.0
104,,2020-03-20,,0.5802564262229873,07315,,,,,
105,,2020-03-20,,,07331,,,0.997907949790795,1.0,0.9981718464351006
