Stadt;Lat;Long
Wilhelmshaven;53.517;8.117
Rheine;52.283;7.45
Gladbeck;51.583;6.983
Lüneburg;53.25;10.417
Troisdorf;50.817;7.15
Dorsten;52.967;7.317
Bayreuth;49.95;11.583
Detmold;51.933;8.883
Arnsberg;51.4;8.067
Castrop-Rauxel;51.55;7.317
Lüdenscheid;51.217;7.633
Landshut;48.533;12.15
Brandenburg an der Havel;52.413;12.552
Bocholt;51.833;6.617
Aschaffenburg;49.967;9.15
Celle;52.633;10.083
Kempten (Allgäu);47.733;10.317
Fulda;51.894;11.63
Aalen;48.833;10.1
Lippstadt;51.667;8.35
Dinslaken;51.567;6.733
Herford;52.117;8.683
Kerpen;50.867;6.7
Rüsselsheim am Main;50;8.417
Weimar;50.989;11.325
Plauen;50.489;12.13
Sindelfingen;48.717;9
Neuwied;50.433;7.467
Dormagen;50.283;11
Neubrandenburg;53.555;13.262
Grevenbroich;51.1;6.583
Rosenheim;50.401;10.54
Herten;51.6;7.133
Bergheim;50.95;6.65
Schwäbisch Gmünd;52.317;7.217
Friedrichshafen;47.65;9.483
Garbsen;52.417;9.583
Wesel;51.667;6.617
Hürth;50.867;6.867
Offenburg;53.017;10.683
Stralsund;54.717;9.667
Greifswald;54.089;13.383
Langenfeld (Rheinland);51.1;6.95
Neu-Ulm;52.663;14.227
Unna;51.533;7.683
Euskirchen;50.667;6.783
Frankfurt (Oder);49.533;8.35
Göppingen;50.167;7.5
Hameln;52.1;9.35
Stolberg (Rheinland);50.767;6.233
Eschweiler;50.817;6.267
Görlitz;50.167;7.5
Meerbusch;51.267;6.683
Sankt Augustin;50.767;7.183
Hilden;51.167;6.933
Waiblingen;48.833;9.317
Baden-Baden;48.767;8.233
Hattingen;51.4;7.183
Lingen (Ems);52.517;7.317
Bad Homburg vor der Höhe;50.233;8.617
Langenhagen;52.433;9.733
Bad Salzuflen;47.55;7.95
Pulheim;51;6.8
Schweinfurt;52.317;7.217
Nordhorn;52.433;7.067
Neustadt an der Weinstraße;49.35;8.15
Wetzlar;50.55;8.5
Menden (Sauerland);51.433;7.8
Ahlen;51.767;7.883
Frechen;50.917;6.817
Passau;48.567;13.467
Wolfenbüttel;52.167;10.533
Ibbenbüren;52.283;7.717
Kleve;51.783;6.133
Bad Kreuznach;50.929;12.011
Goslar;51.9;10.433
Gummersbach;49.067;9
Ravensburg;47.783;9.617
Willich;51.267;6.55
Speyer;49.317;8.433
Emden;53.367;7.2
Böblingen;48.267;10.833
Peine;52.317;10.233
Elmshorn;53.75;9.65
Erftstadt;50.8;6.767
Rastatt;48.867;8.2
Heidenheim an der Brenz;48.683;10.15
Lörrach;50.05;7.8
Leonberg;49.95;12.283
Bergkamen;51.617;7.633
Bad Oeynhausen;52.2;8.8
Freising;48.4;11.75
Frankenthal (Pfalz);49.533;8.35
Rheda-Wiedenbrück;51.85;8.317
Cuxhaven;50.85;8.783
Bornheim;50.767;6.983
Gronau (Westf.);52.083;9.783
Straubing;54.717;9.667
Singen (Hohentwiel);47.767;8.833
Stade;53.6;9.483
Soest;51.567;8.117
Dachau;48.267;11.433
Hennef (Sieg);50.783;7.283
Alsdorf;50.883;6.167
Lahr/Schwarzwald;48.35;7.867
Landau in der Pfalz;49.2;8.117
